2,AID,,HS & A STRIP OF WHITE CLOTH /W STICKY SUBSTANCE,COMBAT,TOUCH,VSM,5    ,1RD + 1RD/LEVEL,CREATURE TOUCHED,NONE
2,AUGURY,,"A SET OF GEM INLAID STICKS, DRAGON BONES OR TOKENS OF AT LEAST 1,000GP VALUE",DIVINATION,0,VSM,2RDS,SPECIAL,SPECIAL,NONE
2,BARKSKIN,,HS & A HANDFUL OF BARK FROM AN OAK TREE,PLANT,TOUCH,VSM,5    ,4RDS + 1RD / LEVEL,CREATURE TOUCHED,NONE
2,CHANT,,,ALL,0,VS,2RDS,TIME OF CHANTING,30FT RADIUS,NONE
2,CHARM PERSON OR MAMMAL,,,ANIMAL,80YDS,VS,5    ,SPECIAL,1 PERSON OR MAMMAL,NEGATES
2,DETECT CHARM / UNDETECTABLE CHARM,Y,,DIVINATION,30YDS,VS,1RD,1 TURN,1 CREATURE / RD,NONE
2,DUST DEVIL,,,SUMMONING,30YDS,VS,2RDS,2RDS / LEVEL,CREATES 1 DUST DEVIL,NONE
2,ENTHRALL,,,CHARM,0,VS,1RD,SPECIAL,90FT RADIUS,NEGATES
2,FIND TRAPS,,,DIVINATION,0,VS,5    ,3 TURNS,10FT X 90FT PATH,NONE
2,FIRE TRAP,,HOLLY BERRIES,ELEMENTAL FIRE,TOUCH,VSM,1 TURN,PERMANENT UNTIL DISCHARGED,OBJECT  TOUCHED, 1/2
2,FLAME BLADE,,HS & A LEAF FROM A SUMAC,ELEMENTAL FIRE,0,VSM,4    ,4RDS + 1RD / 2 LEVEL,3FT LONG BLADE,NONE
2,GOODBERRY / BADBERRY,Y,HS & SOME EDIBLE BERRIES,PLANT,TOUCH,VSM,1RD,1 DAY + 1 DAY / LEVEL,2D4 FRESH BERRIES,NONE
2,HEAT METAL / CHILL METAL,Y,,ELEMENTAL FIRE,40YDS,VS,5    ,7RDS,SPECIAL,SPECIAL
2,HOLD PERSON,,A SM STRAIGHT PC OF IRON,CHARM,120 YDS,VSM,5    ,2RDS / LEVEL,1 TO 4 PERSONS IN A 20' CUBE,NEGATES
2,KNOW ALIGNMENT / UNDETECTABLE ALIGNMENT,Y,,DIVINATION,10YDS,VS,1RD,1 TURN,1 CREATURE OR OBJECT,NEGATES
2,MESSENGER,,,CHARM,20YDS / LEVEL,VS,1RD,1 DAY / LEVEL,1 CREATURE,NEGATES
2,OBSCUREMENT,,,WEATHER,0,VS,5    ,4RDS / LEVEL,"CLOUD, 10FT / LEVEL SQ X 10FT HIGH",NONE
2,PRODUCE FLAME,,,ELEMENTAL FIRE,0,VS,5    ,1RD / LEVEL,SPECIAL,NONE
2,RESIST FIRE/ RESIST COLD,,A DROP OF MERCURY,PROTECTION,TOUCH,VSM,5    ,1RD / LEVEL,CREATURE TOUCHED,NONE
2,SILENCE 15' RADIUS,,,GUARDIAN,120YDS,VS,5    ,2RDS / LEVEL,15FT RADIUS SPHERE,NONE
2,SLOW POISON,,HS & A BUD OF GARLIC,HEALING,TOUCH,VSM,1    ,1HR / LEVEL,CREATURE TOUCHED,NONE
2,SNAKE CHARM,,,ANIMAL,30YDS,VS,5    ,SPECIAL,30FT CUBE,NONE
2,SPEAK WITH ANIMALS,,,ANIMAL,0,VS,5    ,2RDS / LEVEL,1 ANIMAL /W 30FT,NONE
2,SPIRITUAL HAMMER,,A NORMAL WARHAMMER,COMBAT,10YDS / LEVEL,VSM,5    ,3RDS + 1RD / LEVEL,SPECIAL,NONE
2,TRIP,,,PLANT,TOUCH,VS,5    ,1 TURN / LEVEL,1 OBJECT UP TO 10' LONG,NEGATES
2,WARP WOOD / STRAIGHTEN WOOD,Y,,PLANT,10YDS / LEVEL,VS,5    ,INSTANTANEOUS,SPECIAL,SPECIAL
2,WITHDRAW,,,PROTECTION,0,VS,5    ,SPECIAL,THE CASTER,NONE
2,WYVERN WATCH,,HS,GUARDIAN,30YDS,VSM,5    ,8HRS OR UNTIL STRIKE,5FT RADIUS SPHERE,NEGATES
