2,ALTER SELF,,ALTERATION,0,VS,,2,3D4RDS + 2RDS / LEVEL,THE CASTER,NONE
2,BIND,,ENCHANTMENT,30YDS,VSM,ANY ROPELIKE OBJECT,2,1RD / LEVEL,50FT + 5FT / LEVEL,NONE
2,BLINDNESS,,ILLUSION,30YDS + 10YDS / LEVEL,V,,2,PERMANENT,1 CREATURE,NEGATES
2,BLUR,,ILLUSION,0,VS,,2,3RDS + 1RD / LEVEL,THE CASTER,NONE
2,CONTINUAL LIGHT,,ALTERATION,60YDS,VS,,2,PERMANENT,60FT RAD,SPECIAL
2,DARKNESS 15' RADIUS,,ALTERATION,10YDS / LEVEL,VSM,BAT FUR & A BIT OF COAL OR PITCH,2,1 TURN + 1RD / LEVEL,15FT RADIUS,NONE
2,DEAFNESS,,ILLUSION,60YDS,VSM,BEESWAX,2,SPECIAL,1 CREATURE,NEGATES
2,DEEPPOCKETS,,ALTERATION,TOUCH,VSM,"A GARMENT, A GOLDEN NEEDLE & A STRIP OF FINE CLOTHE",1 TURN,12HRS + 1HR / LEVEL,1 GARMENT,NONE
2,DETECT EVIL / DETECT GOOD,Y,DIVINATION,0,VS,,2,5RDS / LEVEL,10FT WIDE X 180FT LONG PATH,NONE
2,DETECT INVISIBILITY,,DIVINATION,0,VSM,A PINCH OF TALC AND POWDERED SILVER,2,5RDS / LEVEL,10FT WIDE X 10FT LONG / LEVEL PATH,NONE
2,ESP,,DIVINATION,0,VSM,A COPPER PIECE,2,1RD / LEVEL,5YDS / LEVEL (90YDS MAX),NONE
2,FLAMING SPHERE,,EVOCATION,10YDS,VSM,A BIT OF TALLOW & POWDERED IRON AND A PINCH OF SULPHUR,2,1RD / LEVEL,3FT SPHERE RADIUS,NEGATES
2,FOG CLOUD,,ALTERATION,10YDS,VS,,2,4RDS + 1RD / LEVEL,SPECIAL,NONE
2,FOOL'S GOLD,,ALTERATION,10YDS,VSM,VARIES,1RD,1HR / LEVEL,10CUIN / LEVEL,SPECIAL
2,FORGET,,ENCHANTMENT,30YDS,VS,,2,SPECIAL,1 TO 4 CREATURES WITHIN 20CUFT,NEGATES
2,GLITTERDUST,,CONJURER,10YDS / LEVEL,VSM,GROUND MICA,2,SPECIAL,20CUFT,SPECIAL
2,HYPNOTIC PATTERN,,ILLUSION,30YDS,SM,A GLOWING STICK OF INCENSE OR A CRYSTAL ROD FILLED W PHOSPHORESCENT MATERIAL,2,SPECIAL,30CUFT,NEGATES
2,IMPROVED PHANTASMAL FORCE,,ILLUSION,60YDS + 10YDS / LEVEL,VSM,A BIT OF FLEECE,2,SPECIAL,200SQFT + 50SQFT / LEVEL,SPECIAL
2,INVISIBILITY,,ILLUSION,TOUCH,VSM,AN EYELASH & A BIT OF GUM ARABIC,2,SPECIAL,CREATURE TOUCHED,SPECIAL
