3,BLINK,,ALTERATION,0,VS,,1,1RD / LEVEL,THE CASTER,NONE
3,CLAIRAUDIENCE,,DIVINATION,UNLIMITED,VSM,A SM HORN (100GPS),3,1RD / LEVEL,60FT RAD,NONE
3,CLAIRVOYANCE,,DIVINATION,UNLIMITED,VSM,A PINCH OF POWDERED PINEAL GLAND,3,1RD / LEVEL,LINE OF SIGHT,NONE
3,DELUDE,,ALTERATION,0,VS,,3,1 TURN / LEVEL,30FT RADIUS,NEGATES
3,DISPEL MAGIC,,ABJURATION,120YDS,VS,,3,INSTANTANEOUS,30CUFT OR 1 ITEM,NONE
3,EXPLOSIVE RUNES,,ALTERATION,TOUCH,VS,,3,SPECIAL,10FT RADIUS,SPECIAL
3,FEIGN DEATH,,NECROMANCY,TOUCH,VS,,1,1HR + 1 TURN / LEVEL,CREATURE TOUCHED,NONE
3,FIREBALL ,,EVOCATION,10YDS + 10YDS / LEVEL,VSM,BAT GUANO & SULPHUR,3,INSTANTANEOUS,20FT RADIUS, 1/2
3,FLAME ARROW,,CONJURER,30YDS + 10YDS / LEVEL,VSM,A DROP OF OIL & A PC OF FLINT,3,1RD,SPECIAL,NONE
3,FLY,,ALTERATION,TOUCH,VSM,A WING FEATHER FR ANY BIRD,3,1D6 TURNS + 1 TURN / LEVEL,CREATURE TOUCHED,NONE
3,GUST OF WIND,,ALTERATION,0,VSM,A LEGUME SEED (BEAN),3,1RD,10FT WIDE X 10YDS LONG / LEVEL,NONE
3,HASTE,,ALTERATION,60YDS,VSM,A SHAVING OF LICORICE ROOT,3,3RDS + 1RD / LEVEL,"40CUFT, 1 CREATURE / LEVEL",NONE
3,HOLD PERSON,,ENCHANTMENT,120YDS,VSM,A SM STRAIGHT PC OF IRON,3,2RDS / LEVEL,1 TO 4 PERSONS IN 20CUFT,NEGATES
3,HOLD UNDEAD,,NECROMANCY,60YDS,VSM,PINCH OF SULPHUR & POWDERED GARLIC,5,1D4RDS + 1RD / LEVEL,1D3 UNDEAD,NEGATES
3,ILLUSIONARY SCRIPT,,ILLUSION,TOUCH,VSM,LEAD BASED INK (300GPS),SPECIAL,1DAY / LEVEL,SCRIPT READER,SPECIAL
3,INFRAVISION,,ALTERATION,TOUCH,VSM,A PINCH OF DRIED CARROT OR AN AGATE,1RD,2HRS + 1HR / LEVEL,CREATURE TOUCHED,NONE
3,INVISIBILITY 10' RADIUS,,ILLUSION,TOUCH,VSM,AN EYELASH & A BIT OF GUM ARABIC,3,SPECIAL,10FT RADIUS,NONE
3,ITEM,,ALTERATION,TOUCH,VS,,3,4HRS / LEVEL,2CUFT OR 1 OBJECT / LEVEL,SPECIAL
3,LEOMUND'S TINY HUT,,ALTERATION,0,VSM,A SM CRYSTAL BEAD,3,4HRS + 1HR / LEVEL,15FT DIAMETER,NONE
3,LIGHTNING BOLT,,EVOCATION,40YDS + 10YDS / LEVEL,VSM,"A BIT OF FUR & A AMBER, CRYSTAL OR GLASS ROD",3,INSTANTANEOUS,SPECIAL, 1/2
3,MELF'S MINUTE METEORS,,EVOCATION,70YDS + 10YDS / LEVEL,VSM,SPECIAL,3,SPECIAL,1 TARGAT PER METEOR,NONE
3,MONSTER SUMMONING I,,CONJURER,SPECIAL  ,VSM,A TINY BAG & A SM CANDLE,3,2RDS + 1RD / LEVEL,30YD RADIUS,NONE
3,NONDETECTION,,ABJURATION,TOUCH,VSM,DIAMOND DUST (300GPS),3,1HR / LEVEL,1 CREATURE OR ITEM,NONE
3,PHANTOM STEED,,CONJURER,TOUCH,VS,,1 TURN,1HR / LEVEL,SPECIAL,NONE
3,"PROTECTION FROM EVIL 10' RADIUS / FROM GOOD 10' RADIUS",Y,ABJURATION,TOUCH,VSM,A 20FT CIRCLE MADE OF POWDERED SILVER / OR POWDERED IRON,3,2RDS / LEVEL,10FT RADIUS AROUND THE CREATURE TOUCHED,NONE
3,PROTECTION FROM NORMAL MISSILES,,ABJURATION,TOUCH,VSM,A PC OF TORTOISE OR TURTLE SHELL,3,1 TURN / LEVEL,CREATURE TOUCHED,NONE
3,SECRET PAGE,,GEOMETRY,TOUCH,VSM,POWDERED HERRING SCALES & WILL O' WISP OR BOGGART ESSENCE,1 TURN,PERMANENT,1 PAGE OF UP TO 2SQFT,NONE
3,SEPIA SNAKE SIGIL,,CONJURER,5YDS ,VSM,"POWDERED AMBER (100GPS), A SCALE FR A SNAKE & A PINCH OF MUSHROOM SPORES",3,SPECIAL,1 SIGIL,NONE
3,SLOW,,ALTERATION,90YDS + 10YDS / LEVEL,VSM,A DROP OF MOLASSES,3,3RDS + 1RD / LEVEL,"40CUFT, 1 CREATURE / LEVEL",NEGATES
3,SPECTRAL FORCE,,ILLUSION,60YDS + 10YDS / LEVEL,VS,,3,SPECIAL,40CUFT + 10CUFT / LEVEL,SPECIAL
3,SUGGESTION,,SONG,30YDS,VM,A SNAKE'S TONGUE & A BIT OF HONEYCOMB OR  A DROP OF SWEET OIL,3,1HR + 1 HR / LEVEL,1 CREATURE,NEGATES
3,TONGUES / BABBLE,Y,ALTERATION,0,VM,A SM CLAY MODEL OF A ZIGGURAT,3,1RD / LEVEL,30FT RADIUS,NONE
3,VAMPIRIC TOUCH,,NECROMANCY,0,VS,,3,1 TOUCH,THE CASTER,NONE
3,WATER BREATHING / AIR BREATHING,Y,ALTERATION,TOUCH,VSM,A SHORT REED OR PC OF STRAW,3,1D4HRS + 1HR / LEVEL,CREATURE TOUCHED,NONE
3,WIND WALL,,ALTERATION,10YDS / LEVEL,VSM,A TINY FAN & A FEATHER OF EXOTC ORIGIN,3,1RD / LEVEL,10FT WIDE X 5FT HIGH / LEVEL,SPECIAL
3,WRAITHFORM,,ALTERATION,0,SM,A BIT OF GAUZE & A WISP OF SMOKE,1,2RDS / LEVEL,THE CASTER,NONE
